RegionName,Year,AvgHouseholdMedianIncome,AvgRent
"Ann Arbor, MI",2013.0,60738.0,1460.438149090226
"Ann Arbor, MI",2014.0,61930.75,1528.1350759564343
"Ann Arbor, MI",2015.0,61928.0,1621.4453515563273
"Ann Arbor, MI",2016.0,64259.5,1703.270078431948
"Ann Arbor, MI",2017.0,68351.5,1825.3364187345985
"Ann Arbor, MI",2018.0,71512.5,1977.140800246941
"Ann Arbor, MI",2019.0,74296.75,1950.97527139774
"Ann Arbor, MI",2020.0,76333.75,1946.3946143558865
"Anniston, AL",2013.0,36001.25,695.8204477847345
"Anniston, AL",2015.0,43331.25,687.9647453165803
"Anniston, AL",2016.0,43581.5,666.2003919322605
"Anniston, AL",2017.0,46000.75,694.2771861288952
"Anniston, AL",2018.0,45703.0,759.7808564866267
"Anniston, AL",2019.0,53011.0,767.3033706121073
"Anniston, AL",2020.0,46996.333333333336,744.6767879550312
"Anniston, AL",2021.0,42090.5,812.3541680193603
"Appleton, WI",2012.0,57761.5,1072.087172844084
"Appleton, WI",2013.0,58554.5,1109.8115233782146
"Appleton, WI",2014.0,59632.25,1136.9194324792709
"Appleton, WI",2015.0,59858.0,1137.6824657657946
"Appleton, WI",2016.0,59507.0,1152.3558402438127
"Appleton, WI",2017.0,61253.5,1243.082990044231
"Appleton, WI",2018.0,62912.0,1363.3891308005825
"Appleton, WI",2019.0,64821.5,1366.4785930877813
"Appleton, WI",2020.0,67384.25,1352.8119950268956
"Appleton, WI",2021.0,73264.25,1453.0069661300904
"Asheville, NC",2014.0,43184.4,1197.2611016662374
"Asheville, NC",2015.0,43113.8,1242.1475999221473
"Asheville, NC",2016.0,44484.2,1314.661107434956
"Asheville, NC",2017.0,45924.2,1448.898846901314
"Asheville, NC",2018.0,48090.6,1632.9465916246436
"Asheville, NC",2019.0,50089.8,1596.8206857118892
"Asheville, NC",2020.0,52212.4,1568.9860284896488
"Asheville, NC",2021.0,57446.6,1798.7376566068367
"Athens, GA",2013.0,34012.75,933.1273594595964
"Athens, GA",2014.0,34672.5,1015.6642811983448
"Athens, GA",2015.0,34224.25,1011.4980422961896
"Athens, GA",2016.0,34403.5,1041.574403719376
"Athens, GA",2017.0,37604.25,1141.4060604237973
"Athens, GA",2018.0,40324.75,1279.2278289551175
"Athens, GA",2019.0,41530.75,1326.078269743264
"Athens, GA",2020.0,40971.75,1346.2795135849192
"Athens, GA",2021.0,45822.5,1528.5206488973015
"Atlanta, GA",2012.0,66888.25,822.0035949294482
"Atlanta, GA",2013.0,66037.5,929.496037699797
"Atlanta, GA",2014.0,68196.25,1101.857555462545
"Atlanta, GA",2015.0,70150.75,1133.553911050156
"Atlanta, GA",2016.0,69525.75,1198.4961236605898
"Atlanta, GA",2017.0,77069.5,1330.0856172123688
"Atlanta, GA",2018.0,82075.25,1516.2909944486712
"Atlanta, GA",2019.0,83837.5,1534.2007577831682
"Atlanta, GA",2020.0,89990.25,1522.156248092964
